canonical_name,address,address_space,functional_block,scope,fields,access,privilege_or_plm,persistence,initialization_stage,known_writer,known_reader,activity,classification,device_sku,hbm_vendor,state,value,source_locator,confidence,notes
FBPA_CONFIG1,0x009a0294,BAR0,timing,broadcast,CL[6:0]=27 WL[13:7]=8 RD_RCD[19:14]=18 WR_RCD[25:20]=13,RW,unknown,boot-latched,devinit,devinit or MODS,probe,active,confirmed,CMP 170HX,unknown,stock,0x38d4841b,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:370,high,Timing CONFIG not geometry CFG1
FBPA_CONFIG2,0x009a0298,BAR0,timing,broadcast,tWR=19 W2R_BUS=8 R2W_BUS=8 CDLR=11,RW,unknown,boot-latched,devinit,devinit or MODS,probe,active,confirmed,CMP 170HX,unknown,stock,0x88130b11,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:371,high,Input to generated timing state
FBPA_CONFIG3,0x009a029c,BAR0,timing,broadcast,FAW=21 CCDL=4 CCDS=2,RW,unknown,boot-latched,devinit,devinit or MODS,probe,active,confirmed,CMP 170HX,unknown,stock,0x24002b4a,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:372,high,Input to generated timing state
FBPA_CONFIG4,0x009a02a0,BAR0,refresh,broadcast,tREFI bits[14:0]=51,RW,unknown,runtime,devinit,devinit MODS or HS refire,probe,active,confirmed,CMP 170HX and A100,unknown,stock 10/40/80 geometry,0xc4030033,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:373,high,Observed invariant across cited CMP and A100 states
FBPA_CONFIG4,0x009a02a0,BAR0,refresh,broadcast,tREFI bits[14:0]=26,RW,unknown,runtime,HS-refire,clean-room refire,probe,active,conflict,CMP 170HX 10GB,unknown,coherent 80GB doubled-refresh test,0xc403001a,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:345,high,Landed on all 20 FBPAs but did not fix Xid instability and reduced bandwidth
FBPA_CONFIG7,0x009a02ac,BAR0,refresh,broadcast,ZQCS_INTERVAL=12800000,RW,unknown,boot-latched,devinit,devinit or MODS,probe,active,confirmed,CMP 170HX,unknown,stock,0x00c35000,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:374,high,Calibration-maintenance interval; no geometry scaling shown
FBPA_TIMING0_GEN,0x009a02b0,BAR0,timing,broadcast,tRC=60 tRFC=441 tRAS=42,RO,unknown,boot-latched,hardware-derived,hardware generator,controller and probe,active,confirmed,CMP 170HX,unknown,stock,decoded,artifacts/sources/consensus-cmp170hx/docs/appendix/register-index.md:275,high,Exact producer transform and relatch trigger remain open
FBPA_TIMING1_GEN,0x009a02b4,BAR0,timing,broadcast,R2W=29 W2R=20 W2P=28,RO,unknown,boot-latched,hardware-derived,hardware generator,controller and probe,active,confirmed,CMP 170HX,unknown,stock,decoded,artifacts/sources/consensus-cmp170hx/docs/appendix/register-index.md:276,high,Differs from writable TIMING1 copy
FBPA_TIMING2_GEN,0x009a02b8,BAR0,timing,broadcast,RD_RCD=18 WR_RCD=13 RRD=6,RO,unknown,boot-latched,hardware-derived,hardware generator,controller and probe,active,confirmed,CMP 170HX,unknown,stock,decoded,artifacts/sources/consensus-cmp170hx/docs/appendix/register-index.md:277,high,Exact raw word not retained in current corpus
FBPA_TIMING4_GEN,0x009a02c0,BAR0,timing,broadcast,FAW=21,RO,unknown,boot-latched,hardware-derived,hardware generator,controller and probe,active,confirmed,CMP 170HX,unknown,stock,decoded,artifacts/sources/consensus-cmp170hx/docs/appendix/register-index.md:278,high,Writable TIMING4 carries stale FAW=40
FBPA_TIMING9_GEN,0x009a02d8,BAR0,timing,broadcast,CCDL=4 CCDS=2,RO,unknown,boot-latched,hardware-derived,hardware generator,controller and probe,active,confirmed,CMP 170HX,unknown,stock,decoded,artifacts/sources/consensus-cmp170hx/docs/appendix/register-index.md:279,high,Exact raw word not retained in current corpus
FBPA_TIMING16_GEN,0x009a02e0,BAR0,timing,broadcast,tRP=18,RO,unknown,boot-latched,hardware-derived,hardware generator,controller and probe,active,confirmed,CMP 170HX,unknown,stock,decoded,artifacts/sources/consensus-cmp170hx/docs/appendix/register-index.md:280,high,Exact raw word not retained in current corpus
FBPA_TIMING_GEN_BANK,0x009a02b0,BAR0,timing,range,generated timing shadows,RO,unknown,boot-latched,hardware-derived,hardware generator,controller and probe,active,open,GA100,unknown,stock,0x009a02b0-0x009a02f0 plus 0x009a0288,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:377,medium,Names fields and values are incomplete outside the decoded subset
FBPA_MRS_0,0x009a0300,BAR0,mode-register,broadcast,HBM MR0 image,RO,unknown,boot-latched,devinit,devinit or FBFLCN,probe,status-only,confirmed,CMP 170HX and A100,unknown,stock,0x00000003,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:317,high,Same on CMP A100 and Drive
FBPA_MRS_1,0x009a0304,BAR0,mode-register,broadcast,HBM MR1 image,RO,unknown,boot-latched,devinit,devinit or FBFLCN,probe,status-only,confirmed,all probed,unknown,stock,0x00100000,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:318,high,Invariant in cohort
FBPA_MRS_8,0x009a0320,BAR0,mode-register,broadcast,HBM MR8 density image,RO,unknown,boot-latched,devinit,devinit or FBFLCN,probe,status-only,closed-negative,15-card cohort,unknown,stock and unlocked,0x00200000,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:309,high,Not the capacity restriction
FBPA_MRS_2,0x009a0334,BAR0,mode-register,broadcast,HBM MR2 image,RO,unknown,boot-latched,devinit,devinit or FBFLCN,probe,status-only,confirmed,CMP 170HX 8GB,unknown,stock,0x00200019,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:317,high,SKU-dependent memory profile
FBPA_MRS_2,0x009a0334,BAR0,mode-register,broadcast,HBM MR2 image,RO,unknown,boot-latched,devinit,devinit or FBFLCN,probe,status-only,confirmed,CMP 170HX 10GB and A100 40GB,unknown,stock,0x002000cf,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:317,high,Matches A100 40GB pair
FBPA_MRS_2,0x009a0334,BAR0,mode-register,broadcast,HBM MR2 image,RO,unknown,boot-latched,devinit,devinit or FBFLCN,probe,status-only,confirmed,A100 80GB,unknown,stock,0x00200029,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:317,high,Different profile; not proof of vendor
FBPA_MRS_WL_RL,0x009a0338,BAR0,mode-register,broadcast,write/read latency image,RO,unknown,boot-latched,devinit,devinit or FBFLCN,probe,status-only,confirmed,CMP 170HX 10GB and A100 40GB,unknown,stock,0x003000ea,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:320,high,Matches A100 40GB
FBPA_MRS_WL_RL,0x009a0338,BAR0,mode-register,broadcast,write/read latency image,RO,unknown,boot-latched,devinit,devinit or FBFLCN,probe,status-only,confirmed,A100 80GB and Drive A100,unknown,stock,0x003000ef,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:320,high,Different profile; not proof of capacity requirement
FBPA_HBM_CFG0,0x009a038c,BAR0,mode-register,broadcast,dual_rank[0] dual_rank_bank[1] SID_VAL[11],RO,unknown,boot-latched,devinit,devinit or FBFLCN,probe,status-only,confirmed,CMP 170HX and A100,unknown,stock,0x000000a7,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:322,high,Controller sees same stack organization
FBPA_TRAINING_STATUS,0x009a0974,BAR0,training,broadcast,SUBP0[1:0] SUBP1[3:2]; 0=FINISHED 2=ERROR,RO,unknown,boot-latched,FBFLCN-training,FBFLCN,probe,status-only,confirmed,15-card cohort,unknown,stock and unlocked 64GB,0x00000000,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:323,high,Completion status is not the calibrated-result corpus
FBIOTRNG_OB_BRLSHFT1,symbolic,MODS binary,training,per-byte,outbound/write barrel-shift delay,RW,unknown,boot-latched,FBFLCN-training,training firmware,MODS diagnostics,active,inferred,GA100-class path,unknown,VBIOS-pattern training,value not captured,artifacts/mods/extracted-455.229/home/455.127/mods.unpacked@string-offset-0x38d5c48,medium,Exact address and GA100 instance formula unresolved
FBIOTRNG_IB_BRLSHFT1,symbolic,MODS binary,training,per-byte,inbound/read barrel-shift delay,RW,unknown,boot-latched,FBFLCN-training,training firmware,MODS diagnostics,active,inferred,GA100-class path,unknown,VBIOS-pattern training,value not captured,artifacts/mods/extracted-455.229/home/455.127/mods.unpacked@string-offset-0x38d5d08,medium,Exact address and GA100 instance formula unresolved
FBPA_VEND_ID_C0,0x009a0838,BAR0,identity,broadcast,unknown,RO,unknown,boot-latched,hardware-derived,hardware,probe,identity-only,closed-negative,15-card cohort,unknown,stock,0x00000000,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:324,high,Does not expose HBM vendor in this cohort
FBPA_VEND_ID_C1,0x009a083c,BAR0,identity,broadcast,unknown,RO,unknown,boot-latched,hardware-derived,hardware,probe,identity-only,closed-negative,15-card cohort,unknown,stock,0x00000000,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:324,high,Does not expose HBM vendor in this cohort
I1500_DEVICE_ID,0x009a3cb4,HBM IEEE1500,ieee1500,per-die,WIR selector 7; WDR length 82,RO,IEEE1500 bridge permissions,runtime,driver-runtime,HBM IEEE1500 chain,MODS and probe,identity-only,confirmed,CMP 170HX,Samsung on tested 10GB card,selector 7,decoded device identity,01_ieee1500-samsung-hidden-capacity_map.md:145,high,Read-only identity route; no hidden-capacity command
I1500_SOFT_LANE_REPAIR,0x009a3cb4,HBM IEEE1500,ieee1500,per-die,WIR 0x12; WDR length 72,RW,IEEE1500 bridge permissions,runtime,driver-runtime,HBM IEEE1500 chain,MODS,identity-only,closed-negative,Samsung HBM,Samsung,selector 4,repair payload,01_ieee1500-samsung-hidden-capacity_map.md:174,high,Repair control not a capacity profile
FBPA_GEOMETRY_PLM,0x009a0148,BAR0,privilege,broadcast,gates CFG1,RW,secure PLM,until-FLR,HS-refire,shipping PLM opener,probe,active,confirmed,CMP 170HX,unknown,locked to open,0xffffff8f to 0xffffffff,artifacts/sources/consensus-cmp170hx/docs/appendix/register-index.md:262,high,Enables CFG1 writes; does not itself select capacity
